Title,ReleaseYear,Certificate,Runtime,Genres,Description,IMDBRating,Metascore,Votes,GrossRevenue,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
Star Wars: Episode VII - The Force Awakens,2015,PG-13,138,"Action, Adventure, Sci-Fi","As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",7.9,80,904089,936.66,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Avengers: Endgame,2019,PG-13,181,"Action, Adventure, Drama","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",8.4,78,1028868,858.37,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Avatar,2009,PG-13,162,"Action, Adventure, Fantasy",A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,7.9,83,1184717,760.51,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Black Panther,2018,PG-13,134,"Action, Adventure, Sci-Fi","T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",7.3,88,712655,700.06,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Avengers: Infinity War,2018,PG-13,149,"Action, Adventure, Sci-Fi",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,8.5,68,994626,678.82,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Titanic,1997,PG-13,194,"Drama, Romance","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",7.9,75,1125771,659.33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Jurassic World,2015,PG-13,124,"Action, Adventure, Sci-Fi","A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.",7.0,59,616267,652.27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Avengers,2012,PG-13,143,"Action, Adventure, Sci-Fi",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,8.1,69,1345083,623.28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Star Wars: Episode VIII - The Last Jedi,2017,PG-13,152,"Action, Adventure, Fantasy","The Star Wars saga continues as new heroes and galactic legends go on an epic adventure, unlocking mysteries of the Force and shocking revelations of the past.",6.9,84,607013,620.18,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Incredibles 2,2018,PG,118,"Animation, Action, Adventure",The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,7.6,80,281818,608.58,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lion King,2019,PG,118,"Animation, Adventure, Drama","After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",6.9,55,235242,543.64,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dark Knight,2008,PG-13,152,"Action, Crime, Drama","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",9.1,84,2525207,534.86,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rogue One: A Star Wars Story,2016,PG-13,133,"Action, Adventure, Sci-Fi","In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",7.8,65,600366,532.18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Star Wars: The Rise Of Skywalker,2019,PG-13,141,"Action, Adventure, Fantasy","In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come.",6.5,53,424281,515.2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Beauty and the Beast,2017,PG,129,"Adventure, Family, Fantasy","A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",7.1,65,298623,504.01,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Finding Dory,2016,PG,97,"Animation, Adventure, Comedy","Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",7.3,77,264812,486.3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frozen II,2019,PG,103,"Animation, Adventure, Comedy","Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.",6.8,64,162495,477.37,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Wars: Episode I - The Phantom Menace,1999,PG,136,"Action, Adventure, Fantasy","Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.",6.5,51,775183,474.54,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Avengers: Age of Ultron,2015,PG-13,141,"Action, Adventure, Sci-Fi","When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",7.3,66,824265,459.01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Dark Knight Rises,2012,PG-13,164,"Action, Crime, Drama","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",8.4,78,1635243,448.14,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrek 2,2004,PG,93,"Animation, Adventure, Comedy","Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.",7.3,75,448413,436.47,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.T. the Extra-Terrestrial,1982,PG,115,"Adventure, Family, Sci-Fi",A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.,7.9,91,396440,435.11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Toy Story 4,2019,G,100,"Animation, Adventure, Comedy","When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",7.7,84,235158,434.04,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Captain Marvel,2019,PG-13,123,"Action, Adventure, Sci-Fi",Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,6.8,64,525203,426.83,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Hunger Games: Catching Fire,2013,PG-13,146,"Action, Adventure, Drama",Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,7.5,76,647722,424.67,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
