Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,R,03 Nov 2006,84 min,Comedy,Larry Charles,"Sacha Baron Cohen, Anthony Hines, Peter Baynham","Sacha Baron Cohen, Ken Davitian, Luenell","Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world. With a documentary crew in tow, Borat becomes more interested in locating and marrying Pamela Anderson.","English, Romanian, Hebrew, Polish, Armenian",United States,Nominated for 1 Oscar. 20 wins & 34 nominations total,https://m.media-amazon.com/images/M/MV5BMTk0MTQ3NDQ4Ml5BMl5BanBnXkFtZTcwOTQ3OTQzMw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",89,7.3,"396,777",tt0443453,movie,06 Mar 2007,"$128,505,958",N/A,N/A,True
Kingsman: The Secret Service,2014,R,13 Feb 2015,129 min,"Action, Adventure, Comedy",Matthew Vaughn,"Jane Goldman, Matthew Vaughn, Mark Millar","Colin Firth, Taron Egerton, Samuel L. Jackson","A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.","English, Arabic, Swedish","United Kingdom, United States",10 wins & 32 nominations,https://m.media-amazon.com/images/M/MV5BYTM3ZTllNzItNTNmOS00NzJiLTg1MWMtMjMxNDc0NmJhODU5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.7/10'}",60,7.7,"639,755",tt2802144,movie,09 Jun 2015,"$128,261,724",N/A,N/A,True
Robots,2005,PG,11 Mar 2005,91 min,"Animation, Adventure, Comedy","Chris Wedge, Carlos Saldanha","Ron Mita, Jim McClain, David Lindsay-Abaire","Ewan McGregor, Halle Berry, Mel Brooks","In a robot world, a young idealistic inventor travels to the big city to join his inspiration's company, only to find himself opposing its sinister new management.","English, Italian",United States,2 wins & 22 nominations,https://m.media-amazon.com/images/M/MV5BZmJhNTQwY2MtYTU0Yy00NDVhLThiZTktNmMxZTk5Nzk3NzE2XkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.4/10'}",64,6.4,"142,481",tt0358082,movie,27 Sep 2005,"$128,200,012",N/A,N/A,True
Coming to America,1988,R,29 Jun 1988,117 min,"Comedy, Romance",John Landis,"Eddie Murphy, David Sheffield, Barry W. Blaustein","Eddie Murphy, Paul Bates, Garcelle Beauvais","An extremely pampered African prince travels to Queens, New York, and goes undercover to find a wife that he can respect for her intelligence and strong will.",English,United States,Nominated for 2 Oscars. 5 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BNGZlNjdlZmMtYTg0MC00MmZkLWIyNDktYmNlOWYzMTkzYWQ1XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",47,7.1,"202,931",tt0094898,movie,05 Jun 2007,"$128,152,301",N/A,N/A,True
Into the Woods,2014,PG,25 Dec 2014,125 min,"Adventure, Comedy, Drama",Rob Marshall,James Lapine,"Anna Kendrick, Meryl Streep, Chris Pine",A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.,English,United States,Nominated for 3 Oscars. 10 wins & 74 nominations total,https://m.media-amazon.com/images/M/MV5BMTY4MzQ4OTY3NF5BMl5BanBnXkFtZTgwNjM5MDI3MjE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.9/10'}",69,5.9,"138,767",tt2180411,movie,24 Mar 2015,"$128,002,372",N/A,N/A,True
Enchanted,2007,PG,21 Nov 2007,107 min,"Animation, Adventure, Comedy",Kevin Lima,Bill Kelly,"Amy Adams, Susan Sarandon, James Marsden","A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer.",English,United States,Nominated for 3 Oscars. 12 wins & 51 nominations total,https://m.media-amazon.com/images/M/MV5BMjE4NDQ2Mjc0OF5BMl5BanBnXkFtZTcwNzQ2NDE1MQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.0/10'}",75,7.0,"192,853",tt0461770,movie,18 Mar 2008,"$127,807,262",N/A,N/A,True
Central Intelligence,2016,PG-13,17 Jun 2016,107 min,"Action, Comedy, Crime",Rawson Marshall Thurber,"Ike Barinholtz, David Stassen, Rawson Marshall Thurber","Dwayne Johnson, Kevin Hart, Danielle Nicolet","After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.",English,"United States, China",2 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BMjA2NzEzNjIwNl5BMl5BanBnXkFtZTgwNzgwMTEzNzE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",52,6.3,"179,760",tt1489889,movie,27 Sep 2016,"$127,440,871",N/A,N/A,True
Anchorman 2: The Legend Continues,2013,PG-13,18 Dec 2013,119 min,Comedy,Adam McKay,"Will Ferrell, Adam McKay","Will Ferrell, Christina Applegate, Paul Rudd","With the 1970s behind them, San Diego's top-rated newsman, Ron Burgundy, returns to take New York City's first twenty-four-hour news channel by storm.",English,United States,1 win & 23 nominations,https://m.media-amazon.com/images/M/MV5BMjE5ODk0NjQzNV5BMl5BanBnXkFtZTgwODk4MDA1MDE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",61,6.3,"177,660",tt1229340,movie,01 Apr 2014,"$127,352,707",N/A,N/A,True
Sweet Home Alabama,2002,PG-13,27 Sep 2002,108 min,"Comedy, Romance",Andy Tennant,"Douglas J. Eboch, C. Jay Cox","Reese Witherspoon, Patrick Dempsey, Josh Lucas",A young woman who has reinvented herself as a New York City socialite must return home to Alabama to obtain a divorce from her husband after seven years of separation.,English,United States,3 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BMjEwMjIwMDQ4OV5BMl5BanBnXkFtZTYwNzc3OTY3._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",45,6.2,"109,992",tt0256415,movie,13 Jan 2004,"$127,223,418",N/A,N/A,True
Dumb and Dumber,1994,PG-13,16 Dec 1994,107 min,Comedy,"Peter Farrelly, Bobby Farrelly","Peter Farrelly, Bennett Yellin, Bobby Farrelly","Jim Carrey, Jeff Daniels, Lauren Holly","After a woman leaves a briefcase at the airport terminal, a dumb limo driver and his dumber friend set out on a hilarious cross-country road trip to Aspen to return it.","English, Swedish, German",United States,5 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BZDQwMjNiMTQtY2UwYy00NjhiLTk0ZWEtZWM5ZWMzNGFjNTVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",41,7.3,"373,844",tt0109686,movie,02 Oct 2001,"$127,175,374",N/A,N/A,True
