,Title,Release Year,Certificate,Runtime,Genres,Description,IMDB Rating,Metascore,Votes,Gross Revenue,genre_pull
0,Incredibles 2,(2018),PG,118 min,"
Animation, Action, Adventure            ","
The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.","

7.6
","
80        
        Metascore
            ","280,826",$608.58M,comedy
1,Finding Dory,(2016),PG,97 min,"
Animation, Adventure, Comedy            ","
Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.","

7.3
","
77        
        Metascore
            ","264,114",$486.30M,comedy
2,Frozen II,(2019),PG,103 min,"
Animation, Adventure, Comedy            ","
Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.","

6.8
","
64        
        Metascore
            ","161,855",$477.37M,comedy
3,Shrek 2,(2004),PG,93 min,"
Animation, Adventure, Comedy            ","
Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.","

7.3
","
75        
        Metascore
            ","447,252",$436.47M,comedy
4,Toy Story 4,(2019),G,100 min,"
Animation, Adventure, Comedy            ","
When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.","

7.7
","
84        
        Metascore
            ","234,326",$434.04M,comedy
5,Toy Story 3,(2010),G,103 min,"
Animation, Adventure, Comedy            ","
The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","

8.3
","
92        
        Metascore
            ","806,092",$415.00M,comedy
6,Jumanji: Welcome to the Jungle,(2017),PG-13,119 min,"
Action, Adventure, Comedy            ","
Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.","

6.9
","
58        
        Metascore
            ","360,029",$404.52M,comedy
7,Frozen,(I) (2013),PG,102 min,"
Animation, Adventure, Comedy            ","
When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.","

7.5
","
75        
        Metascore
            ","606,636",$400.74M,comedy
8,Guardians of the Galaxy Vol. 2,(2017),PG-13,136 min,"
Action, Adventure, Comedy            ","
The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.","

7.6
","
67        
        Metascore
            ","640,166",$389.81M,comedy
9,Finding Nemo,(2003),G,100 min,"
Animation, Adventure, Comedy            ","
After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","

8.2
","
90        
        Metascore
            ","1,008,303",$380.84M,comedy
