,coef,std err,t,P>|t|,[0.025,0.975]
const,7.2568,0.13,55.877,0.0,7.002,7.512
Action,-0.2885,0.066,-4.364,0.0,-0.418,-0.159
Adventure,-0.0635,0.068,-0.931,0.352,-0.197,0.07
Animation,0.2121,0.088,2.401,0.016,0.039,0.385
Biography,0.1049,0.087,1.212,0.226,-0.065,0.275
Comedy,-0.5478,0.071,-7.683,0.0,-0.688,-0.408
Crime,-0.0143,0.072,-0.199,0.842,-0.155,0.126
Drama,0.2167,0.068,3.183,0.001,0.083,0.35
Family,-0.4554,0.089,-5.143,0.0,-0.629,-0.282
Fantasy,-0.1377,0.085,-1.628,0.104,-0.304,0.028
History,-0.0114,0.12,-0.095,0.924,-0.247,0.224
Horror,-0.8923,0.094,-9.457,0.0,-1.077,-0.707
Music,-0.3862,0.11,-3.52,0.0,-0.601,-0.171
Musical,0.4464,0.199,2.244,0.025,0.056,0.837
Mystery,-0.1651,0.082,-2.002,0.045,-0.327,-0.003
Romance,-0.3664,0.088,-4.165,0.0,-0.539,-0.194
Sci-Fi,-0.0102,0.085,-0.12,0.905,-0.177,0.157
Sport,-0.2258,0.142,-1.59,0.112,-0.504,0.053
Thriller,-0.1711,0.077,-2.232,0.026,-0.321,-0.021
War,0.1472,0.145,1.019,0.309,-0.136,0.431
