,coef,std err,t,P>|t|,[0.025,0.975]
const,64.1331,2.473,25.934,0.0,59.282,68.984
Action,-5.8758,1.259,-4.668,0.0,-8.345,-3.407
Adventure,1.4423,1.298,1.111,0.267,-1.105,3.989
Animation,5.7561,1.682,3.422,0.001,2.457,9.056
Biography,1.5397,1.649,0.934,0.351,-1.695,4.774
Comedy,-6.2337,1.358,-4.591,0.0,-8.897,-3.57
Crime,-0.6897,1.365,-0.505,0.613,-3.367,1.988
Drama,5.0438,1.297,3.89,0.0,2.501,7.587
Family,-4.3629,1.686,-2.588,0.01,-7.67,-1.056
Fantasy,-4.4684,1.611,-2.774,0.006,-7.628,-1.308
History,1.7306,2.285,0.757,0.449,-2.752,6.213
Horror,-10.6728,1.797,-5.94,0.0,-14.197,-7.149
Music,-5.5833,2.089,-2.672,0.008,-9.681,-1.485
Musical,9.9627,3.788,2.63,0.009,2.531,17.394
Mystery,-4.7306,1.571,-3.012,0.003,-7.812,-1.65
Romance,-5.4468,1.675,-3.252,0.001,-8.732,-2.161
Sci-Fi,0.3418,1.619,0.211,0.833,-2.835,3.518
Sport,-4.8502,2.705,-1.793,0.073,-10.157,0.456
Thriller,-1.2805,1.459,-0.877,0.38,-4.143,1.582
War,4.2737,2.752,1.553,0.121,-1.125,9.672
