,coef,std err,t,P>|t|,[0.025,0.975]
const,-3061.8149,349.929,-8.75,0.0,-3748.225,-2375.405
IMDBRating,34.287,2.591,13.231,0.0,29.204,39.37
ReleaseYear,1.4947,0.173,8.63,0.0,1.155,1.834
Action,-6.7511,6.557,-1.03,0.303,-19.613,6.11
Adventure,32.3032,6.712,4.812,0.0,19.136,45.47
Animation,-12.178,8.697,-1.4,0.162,-29.239,4.883
Biography,-62.8637,8.543,-7.359,0.0,-79.621,-46.106
Comedy,-21.5112,7.134,-3.015,0.003,-35.504,-7.518
Crime,-30.1393,7.028,-4.288,0.0,-43.926,-16.353
Drama,-36.2593,6.703,-5.409,0.0,-49.408,-23.11
Family,-14.2882,8.76,-1.631,0.103,-31.471,2.895
Fantasy,21.7112,8.312,2.612,0.009,5.406,38.017
History,-34.0801,11.767,-2.896,0.004,-57.163,-10.997
Horror,-50.8486,9.529,-5.336,0.0,-69.54,-32.157
Music,-46.5426,10.802,-4.309,0.0,-67.731,-25.355
Musical,-1.7873,19.544,-0.091,0.927,-40.124,36.55
Mystery,-30.7137,8.131,-3.778,0.0,-46.662,-14.765
Romance,-3.5424,8.676,-0.408,0.683,-20.562,13.477
Sci-Fi,17.9571,8.352,2.15,0.032,1.575,34.34
Sport,-12.9508,13.939,-0.929,0.353,-40.294,14.392
Thriller,-21.7555,7.537,-2.887,0.004,-36.539,-6.972
War,-53.7289,14.264,-3.767,0.0,-81.708,-25.749
