,coef,std err,t,P>|t|,[0.025,0.975]
const,-2741.9113,353.656,-7.753,0.0,-3435.632,-2048.191
Metascore,1.4904,0.138,10.764,0.0,1.219,1.762
ReleaseYear,1.4112,0.176,8.009,0.0,1.066,1.757
Action,-7.4968,6.683,-1.122,0.262,-20.605,5.612
Adventure,28.2725,6.843,4.132,0.0,14.85,41.695
Animation,-13.2452,8.878,-1.492,0.136,-30.659,4.169
Biography,-61.1449,8.697,-7.031,0.0,-78.204,-44.086
Comedy,-30.7397,7.18,-4.281,0.0,-44.824,-16.655
Crime,-29.5486,7.158,-4.128,0.0,-43.589,-15.508
Drama,-36.2691,6.839,-5.304,0.0,-49.684,-22.855
Family,-23.3902,8.86,-2.64,0.008,-40.77,-6.01
Fantasy,23.888,8.477,2.818,0.005,7.259,40.517
History,-37.1465,11.985,-3.099,0.002,-60.656,-13.637
Horror,-65.2016,9.542,-6.833,0.0,-83.918,-46.485
Music,-51.4215,10.98,-4.683,0.0,-72.96,-29.883
Musical,-1.6744,19.915,-0.084,0.933,-40.739,37.39
Mystery,-28.9354,8.291,-3.49,0.0,-45.198,-12.673
Romance,-7.7988,8.817,-0.885,0.377,-25.094,9.496
Sci-Fi,17.3338,8.506,2.038,0.042,0.649,34.019
Sport,-13.4351,14.199,-0.946,0.344,-41.287,14.417
Thriller,-25.4827,7.667,-3.324,0.001,-40.522,-10.443
War,-55.851,14.529,-3.844,0.0,-84.35,-27.352
