,coef,std err,t,P>|t|,[0.025,0.975]
const,-3100.0094,349.873,-8.86,0.0,-3786.31,-2413.708
IMDBRating,28.4566,3.673,7.748,0.0,21.252,35.661
Metascore,0.4311,0.193,2.237,0.025,0.053,0.809
ReleaseYear,1.5212,0.173,8.775,0.0,1.181,1.861
Action,-6.0236,6.556,-0.919,0.358,-18.884,6.836
Adventure,31.2174,6.721,4.645,0.0,18.034,44.401
Animation,-13.4983,8.706,-1.551,0.121,-30.575,3.579
Biography,-63.0474,8.532,-7.39,0.0,-79.783,-46.312
Comedy,-22.1018,7.129,-3.1,0.002,-36.086,-8.118
Crime,-29.9419,7.019,-4.266,0.0,-43.711,-16.173
Drama,-37.1945,6.707,-5.545,0.0,-50.351,-24.038
Family,-15.0651,8.755,-1.721,0.086,-32.239,2.108
Fantasy,22.7586,8.314,2.737,0.006,6.449,39.068
History,-34.8627,11.757,-2.965,0.003,-57.924,-11.801
Horror,-51.5566,9.521,-5.415,0.0,-70.233,-32.88
Music,-46.4013,10.787,-4.302,0.0,-67.561,-25.242
Musical,-3.3707,19.53,-0.173,0.863,-41.681,34.94
Mystery,-29.7608,8.131,-3.66,0.0,-45.71,-13.812
Romance,-3.3899,8.665,-0.391,0.696,-20.387,13.607
Sci-Fi,17.6757,8.341,2.119,0.034,1.314,34.038
Sport,-12.1861,13.925,-0.875,0.382,-39.5,15.128
Thriller,-22.2741,7.53,-2.958,0.003,-37.045,-7.503
War,-54.4587,14.248,-3.822,0.0,-82.408,-26.51
